free_spaces_number;updated_at;parking_id;fecha;hora
291;2021-11-04 18:40:21.453000;Descalzas;2021-11-04;18:40:21
83;2021-11-04 18:39:57.333000;Orense;2021-11-04;18:39:57
274;2021-11-04 18:39:52.230000;Marqués de Salamanca;2021-11-04;18:39:52
50;2021-11-04 18:39:46.543000;Fuencarral;2021-11-04;18:39:46
108;2021-11-04 18:40:23.907000;Plaza de Oriente;2021-11-04;18:40:23
21;2021-11-04 18:40:25.017000;Sánchez Bustillo;2021-11-04;18:40:25
124;2021-11-04 18:39:59.593000;Montalbán;2021-11-04;18:39:59
198;2021-11-04 18:40:36.840000;Olavide;2021-11-04;18:40:36
338;2021-11-04 18:39:58.587000;Plaza de España;2021-11-04;18:39:58
34;2021-11-04 18:40:27.533000;Plaza del Rey;2021-11-04;18:40:27
240;2021-11-04 18:39:56.033000;Plaza Mayor;2021-11-04;18:39:56
25;2021-11-04 18:40:34.450000;Villa de París;2021-11-04;18:40:34
2;2021-11-04 18:40:33.230000;Pedro Zerolo;2021-11-04;18:40:33
6;2021-11-04 18:40:29.720000;BARCO 1;2021-11-04;18:40:29
4;2021-11-04 18:40:30.207000;GRAVINA 21;2021-11-04;18:40:30
12;2021-11-04 18:40:30.783000;El Corte Inglés Callao;2021-11-04;18:40:30
42;2021-11-04 18:40:31.283000;MERCADO SAN ANTON;2021-11-04;18:40:31
28;2021-11-04 18:40:31.707000;GARAJE PIAMONTE;2021-11-04;18:40:31
19;2021-11-04 18:40:32.047000;PARKING VOT;2021-11-04;18:40:32
67;2021-11-04 18:40:33.137000;Mercado de la Cebada;2021-11-04;18:40:33
523;2021-11-04 18:41:34.877000;Nuestra Señora del Recuerdo;2021-11-04;18:41:34
252;2021-11-04 18:41:40.673000;Avenida de Portugal;2021-11-04;18:41:40
181;2021-11-04 18:41:26.273000;Almagro;2021-11-04;18:41:26
80;2021-11-04 18:41:22.670000;Jacinto Benavente;2021-11-04;18:41:22
83;2021-11-04 18:41:37.510000;Orense;2021-11-04;18:41:37
275;2021-11-04 18:41:33.987000;Marqués de Salamanca;2021-11-04;18:41:33
50;2021-11-04 18:41:28.670000;Fuencarral;2021-11-04;18:41:28
125;2021-11-04 18:41:39.867000;Montalbán;2021-11-04;18:41:39
198;2021-11-04 18:41:27.403000;Olavide;2021-11-04;18:41:27
337;2021-11-04 18:41:38.473000;Plaza de España;2021-11-04;18:41:38
239;2021-11-04 18:41:36.677000;Plaza Mayor;2021-11-04;18:41:36
23;2021-11-04 18:41:25.093000;Villa de París;2021-11-04;18:41:25
0;2021-11-04 18:41:23.903000;Pedro Zerolo;2021-11-04;18:41:23
68;2021-11-04 18:41:19.060000;Mercado de la Cebada;2021-11-04;18:41:19
